Year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1967	6.52741928446677	6.74464282819203	7.39516135184996	8.19333337148031	10.7822580183706	13.3150001207987	16.3161292229929	15.9580644792126	14.466666730245	12.4774194532825	8.65833339691162	6.94354844093323
1968	6.85483869045011	4.83965517734659	7.06290311967173	8.26666668256124	10.2532259110482	13.7766666730245	15.3790323503556	15.7354838463568	14.8983332951864	13.740322512965	9.28666658401489	6.17096771732453
1969	7.64516126724982	4.19285722289767	6.56451616748687	8.66499994595845	11.2822580645161	13.4216667175293	16.3064513975574	16.558064399227	15.1683333714803	14.2645160305885	8.56833336353302	6.49999994231809
1970	6.68387093851643	5.64821433169501	5.5548387112156	7.30499997933706	11.6903224452849	14.7799997965495	14.7032257818407	15.8983872628981	15.6050000190735	12.3016129770587	10.7716667811076	6.26774189164562
1971	6.79032256910878	6.15714286054884	5.6532258122198	8.43833338419596	11.2516128786149	12.5599998792013	17.0612904025662	16.1661292352984	16.0000000317891	14.072580675925	8.66500000953674	7.82419354684891
1972	6.133870951591	6.68620691628292	8.0903225175796	8.62500004768372	10.0451613241626	11.2950000127157	14.2612904271772	15.1999999015562	13.635000038147	12.27096772963	8.87666664123535	8.06774197855303
1973	6.21451613979955	5.8749999659402	7.22741936099145	7.65333337783813	11.283870943131	14.3083334604899	15.2629032442647	17.0645159752138	15.2650001525879	11.6887097820159	9.3849999109904	7.48709674035349
1974	7.70806457150367	7.12142848968506	7.03225820295272	8.84666665395101	10.8919355023292	14.0983332633972	14.898387078316	15.574193739122	13.338333384196	9.58225800914149	9.41499988238017	9.34999987386888
1975	8.38709682033908	7.5482143163681	6.26774196470937	8.13000000317891	10.1451613210863	14.8516667683919	16.5790323442028	17.9209677788519	14.6599999745687	11.8145161905596	9.28166664441427	6.88387100927291
1976	7.15645157137225	5.96206899963576	6.53064515513759	7.91666658719381	12.0580645530455	16.7466666857402	17.8693546172111	17.9258064146965	14.7850001653035	12.2241936037617	9.02833334604899	5.84032259833428
1977	5.65000005306736	7.20535712582724	8.15806453458725	8.00500001907349	10.6903226606307	11.9716668128967	15.5967742858394	15.5322580029888	14.0350000699361	13.5693547956405	8.88333330154419	8.33548395095333
1978	5.85483874813203	5.04821428656578	7.28387098927652	7.38666668732961	11.7403226975472	13.0799999872843	14.5322581260435	15.2435484240132	14.7533333778381	13.5338710969494	10.8533333381017	7.63709682803
1979	3.68548390365416	4.68392855567591	6.40161285092754	7.99166656335195	9.91290330117749	13.2200000762939	15.7725805159538	15.3145161290323	14.4166668574015	13.3741935299289	9.62500006357829	8.40967735936565
